Date,Dislikes,Image,Likes,Name,Rating,RelativeDate,Review,ReviewId,Title,URCount,Verified
2017-03-29 23:08:18,0,https://www.gravatar.com/avatar/f2958a7326cf9e242a2891c775d702b8?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Vishnu,100,14 hours ago,awesome making.. well scripted and well performed by each and everyone. Chakkochan and Fahad did their best. Parvathi is phenomenal. She is the lady Superstar for me. Well performed Parvathy.. I am a fan of your characters and your personality. keep it up..,17680933,Awesome - A must watch movie,11,Y
2017-03-29 23:08:08,0,https://graph.facebook.com/181931128980872/picture?type=square,0,Shareef,100,14 hours ago,"The best ever movie i had seen. 
The story is based on a true event.  very suspensive and a thriller movie.  actress parvathi acted very well in this movie. 
unbelievable and fantastic creation. 
Congrats for the team TAKE OFF",17680923,Take Off,1,N
2017-03-29 23:05:05,0,https://www.gravatar.com/avatar/1c0ff884994a3b95449edb81baa856fd?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Anil,100,14 hours ago,"one of the best movie which is released recently in malayalam. definitely movie will cross 200 daysparvathi fantastic work you prove again.first half is ok second half is brilliant,hats off to director sir I give you 4.5 rating out if 5",17680791,Amazing,1,N
2017-03-29 22:42:40,0,https://graph.facebook.com/10154730258108083/picture?type=square,0,Anilraj,100,14 hours ago,"one of the best movie I have ever seen .Story ,screen play, dialogue,direction ,cinematography all are perfect .a complete film .Parvati is  going to grab awards again.",17679691,Take Off (U),1,Y
2017-03-29 22:39:18,0,https://www.gravatar.com/avatar/df29232b0cd5f4a00b04f1b31ba4546c?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Pradeep,100,14 hours ago,"It was really a great exprience...movie directed well and vfx, bgm also well done... Seens are really heart touch... as the story was a true event.",17679669,great movie,3,Y
2017-03-29 22:28:13,0,https://www.gravatar.com/avatar/8bf6c6f6bbe3b39252ae0c9bbf9a2fc6?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Mahesh Murali,100,14 hours ago,After 12 years my mom came to theatre for watch this movie and she enjoyed every bit of this movie .One of the fantastic movie ever made in Malayalam .Kudos to Director Mahesh Narayanan and Especially Fahad Faasil you are such an brilliant actor .Guys go and watch this movie in theatres.,17679111,Take Off,4,N
2017-03-29 21:53:26,0,https://www.gravatar.com/avatar/28f3c273fadfc5fea2e20d7442fbdda6?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Vaishnav,90,15 hours ago,nice visual effects... all of them done a great job? I suggest u all to watch this movie .all the actors were good...nice.. i loved the movie especially Fahad 's acting was awesomeother 3 also done a great job,17677554,NICE MOVIE,1,N
2017-03-29 20:46:35,0,https://www.gravatar.com/avatar/b6c0015bbfcbf9812f5b30409b66b8f2?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Adarsh,100,16 hours ago,Like what Traffic did to malayalam movies..As a avid follower of malayalam cinemas i am sure Take off will take it off to next level...!Brilliant movie...,17674631,Take off to next level of malayalam cinema,1,Y
2017-03-29 20:35:02,0,https://www.gravatar.com/avatar/165f3c6a236ee7a83ad2929e90936639?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,SAVITHA,100,16 hours ago,A must watch one...taken brilliantly...More than a Mollywood movie standard...worth for the money n time.Touching story..told in the most suitable manner.,17674161,superb,1,N
2017-03-29 19:58:30,0,https://www.gravatar.com/avatar/fecba514a84592139643f17bd0a2945f?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Deepu,90,17 hours ago,"Take Off is a brilliant take on a real-life tale and with the director’s own spin on the incidents, it makes an engaging cinematic experience that could give even Bollywood movies of similar genre, made at much-bigger budgets, a run for their money.",17672578,deeps,1,N
